Numero_Serie, HIPOT, CONTINITY, GROUND
ZTMFLG230300011, PASS_3.64, PASS_3.64, PASS_3.64
ZTMFLG230300015, PASS_80.1, PASS_80.1, PASS_80.1
ZTMFLG230300016, PASS_0.28, PASS_0.28, PASS_0.28
ZTMFLG230300018, PASS_3.61, PASS_3.61, PASS_3.61
ztmflg230300012, PASS_80.8, PASS_80.8, PASS_80.8
ZTMFLG230300014, PASS_81.4, PASS_81.4, PASS_81.4
ZTMFLG230300019, PASS_89.6, PASS_89.6, PASS_89.6
ZTMFLG230300020, PASS_82.6, PASS_82.6, PASS_82.6
ZTMFLG230300021, PASS_84.1, PASS_84.1, PASS_84.1
ZTMFLG230300012, PASS_83.9, PASS_83.9, PASS_83.9
ZTMFLG230300013, PASS_82.6, PASS_82.6, PASS_82.6
ZTMFLG230300017, PASS_82.6, PASS_82.6, PASS_82.6
ERROR DATA, 404_ERROR DATA, 404_ERROR DATA, 404_ERROR DATA
ZTMFLG230300002, PASS_0.30, PASS_0.30, PASS_0.30
ZTMFLG230300003, PASS_0.27, PASS_0.27, PASS_0.27
ztmflg230300004, PASS_0.28, PASS_0.28, PASS_0.28
ztmflg230300005, PASS_1.06, PASS_1.06, PASS_1.06
ztmflg230300006, PASS_0.74, PASS_0.74, PASS_0.74
ztmflg230300007, PASS_1.79, PASS_1.79, PASS_1.79
ztmflg230300008, PASS_8.70, PASS_8.70, PASS_8.70
ztmflg230300009, PASS_5.05, PASS_5.05, PASS_5.05
ztmflg230300010, PASS_2.49, PASS_2.49, PASS_2.49
ZTMFLG230300042, PASS_0.26, PASS_0.26, PASS_0.26
ZTMFLG230400043, PASS_0.29, PASS_0.29, PASS_0.29
ZTMFLG230400044, PASS_0.34, PASS_0.34, PASS_0.34
ZDMFLG230400001, PASS_0.25, PASS_0.25, PASS_0.25
ZDMFLG230400002, PASS_0.27, PASS_0.27, PASS_0.27
ZDMFLG230400003, PASS_0.25, PASS_0.25, PASS_0.25
ZDMFLG230400004, PASS_0.26, PASS_0.26, PASS_0.26
ZDMFLG230400005, PASS_0.25, PASS_0.25, PASS_0.25
